wallet,tx_count,unique_program_count,most_used_program,token_transfer_count,active_days,avg_block_time_diff,cluster,tsne_x,tsne_y
2aYKKRTRuGZUyesbq781tdoU1SYoB8KFjjimtE2xvaWX,10,71,G1AQFr3f1ExDjEEC8Y1W4QmSQ5svn81pkdzE1SV7T3Tt,61,1,72.11,2,-27.414904,73.16953
3XCQJQryqpDvvZBfGxR7CLAw5dpGJ9aa7kt1jRLdyxuZ,1,23,7C6bBJpKLwjs95L4x3uRF9rnHc2ztefnAgPqZU2qwHXb,6,1,0.0,4,-56.241165,-37.580963
4BLNHtVe942GSs4teSZqGX24xwKNkqU7bGgNn3iUiUpw,2,37,rLsi2DPwRLovHzLV5XYxa8B597bv8w8nX7fZHJJf8uy,18,1,5.0,4,12.127646,-17.333763
4DoNfFBfF7UokCC2FQzriy7yHK6DY6NVdYpuekQ5pRgg,52,15,LUKAzPV8dDbVykTVT14pCGKzFfNcgZgRbAXB8AGdKx3,208,1,4.88,0,50.804707,-81.19157
5vGuW9JPE1jKCaa7T8tacwDmwoKJZ8e9qS6AdtzcVhf3,1,26,5vGuW9JPE1jKCaa7T8tacwDmwoKJZ8e9qS6AdtzcVhf3,6,1,0.0,4,-67.261215,6.736142
6P4tvbzRY6Bh3MiWDHuLqyHywovsRwRpfskPvyeSoHsz,3,15,2kCm1RHGJjeCKL4SA3ZJCLyXqUD7nEJ7GMtVaP7c6jQ8,12,1,0.0,4,-83.29075,-70.772865
6Q6U8JUefrxjo8nE4GNDysFfYaY2XapMs6w8eEuoA72w,1,17,7qsRnGY2zYYu3xxtS6TvnnRTU6uqfeCeBV8wn5N5NVNm,5,1,0.0,4,-97.82952,-27.266619
7zfWh3mdzgze8r141Efn8pwstJdbpd4mR6WJaHV8WEub,66,33,5vGuW9JPE1jKCaa7T8tacwDmwoKJZ8e9qS6AdtzcVhf3,396,1,270.95,1,91.74679,-64.81195
9exNXgVsUoWKzJd8Kch5Vkx3H1Kh8GwNt27sXDr831xj,10,41,5vGuW9JPE1jKCaa7T8tacwDmwoKJZ8e9qS6AdtzcVhf3,60,1,451.67,3,40.837875,123.8326
9wnM48uL5oec8qNya8hxEj6feGGXBL2QiW9RkJf5P3Ek,5,41,G1AQFr3f1ExDjEEC8Y1W4QmSQ5svn81pkdzE1SV7T3Tt,30,1,163.0,4,18.35802,59.10036
AQ36QRk3HAe6PHqBCtKTQnYKpt2kAagq9YoeTqUPMGHx,2,32,rLsi2DPwRLovHzLV5XYxa8B597bv8w8nX7fZHJJf8uy,18,1,10.0,4,-35.88727,-78.36662
Dm74G8aB7GH77VnVNcMgsdoZFUrZTibnqsYV3ueppvsC,9,33,HYe4vSaEGqQKnDrxWDrk3o5H2gznv7qtij5G6NNG8WHd,36,1,23.12,4,-27.63491,-7.5381327
E64NGkDLLCdQ2yFNPcavaKptrEgmiQaNykUuLC1Qgwyp,4,66,11111111111111111111111111111111,15,1,59.33,2,47.555107,23.293228
EHCWfmZLVsE9u2e9kvNqh1z9BiLKxknCNEHDDapkoiLn,1,27,G1AQFr3f1ExDjEEC8Y1W4QmSQ5svn81pkdzE1SV7T3Tt,6,1,0.0,4,-13.797115,-48.03591
G1AQFr3f1ExDjEEC8Y1W4QmSQ5svn81pkdzE1SV7T3Tt,70,96,G1AQFr3f1ExDjEEC8Y1W4QmSQ5svn81pkdzE1SV7T3Tt,392,1,33.13,1,110.51619,-25.92253
Gs3zMFwWZAy9Sa9ZKq8D2WzVGsjYTfJJsqMDhy4giWN9,3,42,2Tv92S3gYKrCCRngqmYcAsAtqhhK6gAFFqGVSzExeAHG,17,1,82.5,4,-4.96164,26.47008
So11111111111111111111111111111111111111112,2,39,ComputeBudget111111111111111111111111111111,8,1,301.0,3,51.87214,88.3595
